City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Anchorage,US,2022-06-21 14:52:25,61.2181,-149.9003,55.56,74,75,4.61
68,Cockburn Town,TC,2022-06-21 14:50:55,21.4612,-71.1419,80.98,77,100,12.28
69,Rafaela,AR,2022-06-21 14:51:33,-31.2503,-61.4867,56.98,38,38,5.99
70,Ayr,GB,2022-06-21 14:52:25,55.4627,-4.6339,68.31,82,75,11.5
71,Bubaque,GW,2022-06-21 14:52:26,11.2833,-15.8333,81.82,74,42,10.09
72,Airai,TL,2022-06-21 14:52:26,-8.9266,125.4092,57.42,91,91,4.18
73,Fairlie,GB,2022-06-21 14:52:26,55.756,-4.8556,68.22,86,92,7.92
74,Kupang,ID,2022-06-21 14:52:27,-10.1667,123.5833,78.78,73,84,14.34
75,Berlevag,NO,2022-06-21 14:52:27,70.8578,29.0864,66.2,51,100,13.8
76,Saint-Philippe,RE,2022-06-21 14:52:28,-21.3585,55.7679,65.79,71,63,10.4
77,Atar,MR,2022-06-21 14:52:28,20.5169,-13.0499,91.89,41,16,5.48
78,Barrow,US,2022-06-21 14:51:09,71.2906,-156.7887,48.22,81,100,4.61
79,Rio Verde De Mato Grosso,BR,2022-06-21 14:52:28,-18.9181,-54.8442,85.28,38,2,8.97
80,Pangody,RU,2022-06-21 14:52:29,65.85,74.4859,73.44,54,84,4.83
81,Bluff,NZ,2022-06-21 14:52:29,-46.6,168.3333,29.8,81,1,6.87
82,Requena,ES,2022-06-21 14:52:30,39.4883,-1.1004,76.78,44,100,3.31
83,Dubrovnik,HR,2022-06-21 14:52:30,42.6481,18.0922,78.44,69,0,6.91
84,Lompoc,US,2022-06-21 14:50:14,34.6391,-120.4579,73.58,78,0,0.0
85,Vanavara,RU,2022-06-21 14:53:31,60.34,102.2797,53.47,69,22,4.47
86,Tacna,PE,2022-06-21 14:51:29,-18.0056,-70.2483,56.3,87,100,4.61
87,Nouadhibou,MR,2022-06-21 14:53:31,20.931,-17.0347,82.38,69,20,10.36
88,Artyom,AZ,2022-06-21 14:53:32,40.4723,50.333,82.54,47,0,8.52
89,Sitka,US,2022-06-21 14:49:20,57.0531,-135.33,49.89,81,75,3.44
90,Anqiu,CN,2022-06-21 14:53:32,36.4342,119.1925,78.19,58,15,9.28
91,Fujin,CN,2022-06-21 14:53:33,47.26,132.0322,66.15,91,98,10.71
92,Ust-Maya,RU,2022-06-21 14:53:33,60.4167,134.5333,65.14,72,100,2.48
93,New Norfolk,AU,2022-06-21 14:53:34,-42.7826,147.0587,46.89,83,27,1.01
94,Yar-Sale,RU,2022-06-21 14:53:34,66.8333,70.8333,61.7,80,92,6.87
95,Kyzyl-Suu,KG,2022-06-21 14:53:34,42.3414,78.0056,58.14,79,100,2.86
96,Kawalu,ID,2022-06-21 14:53:35,-7.3817,108.2082,72.57,95,100,0.56
97,Kapaa,US,2022-06-21 14:53:35,22.0752,-159.319,70.48,99,10,10.02
98,Baherden,TM,2022-06-21 14:53:36,38.4362,57.4316,91.94,17,0,11.21
99,Muros,ES,2022-06-21 14:53:36,42.7762,-9.0603,63.68,89,100,3.69
100,Shiyan,CN,2022-06-21 14:53:36,32.6475,110.7781,79.36,80,41,1.86
101,Cape Town,ZA,2022-06-21 14:53:37,-33.9258,18.4232,64.81,66,20,5.75
102,Touros,BR,2022-06-21 14:53:37,-5.1989,-35.4608,82.06,70,80,17.9
103,Ribeira Grande,PT,2022-06-21 14:53:38,38.5167,-28.7,66.6,77,40,16.11
104,Ponta Do Sol,PT,2022-06-21 14:53:38,32.6667,-17.1,72.23,62,34,2.24
105,Sanwer,IN,2022-06-21 14:53:39,22.9833,75.8333,79.45,62,85,2.17
106,Dingle,PH,2022-06-21 14:53:39,10.9995,122.6711,76.78,90,99,1.41
107,Kahului,US,2022-06-21 14:52:57,20.8947,-156.47,76.84,68,20,13.8
108,Namatanai,PG,2022-06-21 14:53:39,-3.6667,152.4333,79.21,80,77,5.46
109,Ous,RU,2022-06-21 14:53:40,60.9058,61.5186,63.72,87,100,4.12
110,Esperance,AU,2022-06-21 14:53:40,-33.8667,121.9,58.28,66,100,12.39
111,Inuvik,CA,2022-06-21 14:53:41,68.3499,-133.7218,49.06,63,20,8.05
112,Saqqez,IR,2022-06-21 14:53:41,36.2499,46.2735,85.89,11,0,16.15
113,Puerto Ayora,EC,2022-06-21 14:53:42,-0.7393,-90.3518,71.56,94,88,8.01
114,Gazojak,TM,2022-06-21 14:53:42,41.1875,61.4036,89.49,16,2,12.71
115,Port Blair,IN,2022-06-21 14:50:54,11.6667,92.75,82.44,78,75,5.75
116,Norman Wells,CA,2022-06-21 14:49:59,65.282,-126.8329,55.44,94,100,4.61
117,Kushmurun,KZ,2022-06-21 14:53:43,52.4503,64.6311,66.25,55,98,8.59
118,Alice Springs,AU,2022-06-21 14:53:43,-23.7,133.8833,45.95,71,0,0.0
119,Atuona,PF,2022-06-21 14:53:43,-9.8,-139.0333,77.81,77,89,23.44
120,Along,IN,2022-06-21 14:53:44,28.1667,94.7667,74.5,99,75,0.51
121,Morondava,MG,2022-06-21 14:53:44,-20.2833,44.2833,75.81,62,0,15.14
122,Kodiak,US,2022-06-21 14:53:44,57.79,-152.4072,51.71,77,35,7.16
123,Kindu,CD,2022-06-21 14:53:45,-2.95,25.95,87.85,46,86,1.59
124,Laguna,US,2022-06-21 14:49:03,38.421,-121.4238,82.29,48,0,6.91
125,Impfondo,CG,2022-06-21 14:53:46,1.6381,18.0667,85.06,59,59,3.42
126,Baktaloranthaza,HU,2022-06-21 14:53:46,48.0,22.0833,77.63,28,21,16.51
127,Souillac,MU,2022-06-21 14:53:46,-20.5167,57.5167,70.18,64,20,6.91
128,Astana,KZ,2022-06-21 14:50:57,51.1801,71.446,64.35,88,75,8.95
129,Sindor,RU,2022-06-21 14:53:47,62.8629,51.8905,56.86,85,100,7.27
130,Ilulissat,GL,2022-06-21 14:54:47,69.2167,-51.1,33.94,93,100,5.75
131,Osorno,CL,2022-06-21 14:54:47,-40.5667,-73.15,44.26,81,0,0.0
132,Mengyin,CN,2022-06-21 14:54:48,35.7069,117.9264,78.98,54,17,5.53
133,Cooma,AU,2022-06-21 14:54:48,-36.2333,149.1333,33.6,92,1,2.98
134,Mar Del Plata,AR,2022-06-21 14:53:54,-38.0023,-57.5575,53.94,61,20,13.8
135,Geraldton,AU,2022-06-21 14:54:48,-28.7667,114.6,55.81,94,0,8.05
136,Agadir,MA,2022-06-21 14:54:49,30.4202,-9.5982,79.25,60,17,8.23
137,Alta Floresta,BR,2022-06-21 14:54:49,-9.8756,-56.0861,93.02,38,0,10.36
138,Khatanga,RU,2022-06-21 14:54:50,71.9667,102.5,50.61,76,100,11.18
139,Kinston,US,2022-06-21 14:54:50,35.2627,-77.5816,82.17,57,75,3.44
140,Isangel,VU,2022-06-21 14:54:50,-19.55,169.2667,70.54,67,75,11.18
141,Wanning,CN,2022-06-21 14:54:51,18.8003,110.3967,82.13,93,100,10.54
142,Yerbogachen,RU,2022-06-21 14:54:51,61.2767,108.0108,51.64,60,3,2.82
143,Bathsheba,BB,2022-06-21 14:54:51,13.2167,-59.5167,84.81,74,20,16.11
144,Codrington,AU,2022-06-21 14:54:52,-38.2667,141.9667,54.19,86,85,14.07
145,Iskateley,RU,2022-06-21 14:54:52,67.6803,53.1512,45.54,70,62,18.41
146,Talara,PE,2022-06-21 14:54:52,-4.5772,-81.2719,66.96,77,0,24.16
147,Goderich,CA,2022-06-21 14:49:54,43.7501,-81.7165,69.91,86,1,11.12
148,Labuhan,ID,2022-06-21 14:54:53,-6.8844,112.2051,79.07,81,55,8.1
149,Port Elizabeth,ZA,2022-06-21 14:54:53,-33.918,25.5701,65.1,86,0,6.91
150,Kaitangata,NZ,2022-06-21 14:54:54,-46.2817,169.8464,35.29,89,0,3.91
151,Victor Harbor,AU,2022-06-21 14:54:54,-35.5667,138.6167,56.68,93,6,8.12
152,Sungaipenuh,ID,2022-06-21 14:54:54,-2.0833,101.3833,65.25,97,100,0.87
153,Kavieng,PG,2022-06-21 14:54:54,-2.5744,150.7967,81.12,78,40,9.19
154,Lebu,CL,2022-06-21 14:54:55,-37.6167,-73.65,51.64,84,100,4.72
155,Port Alfred,ZA,2022-06-21 14:54:12,-33.5906,26.891,63.18,82,100,1.99
156,Beringovskiy,RU,2022-06-21 14:54:55,63.05,179.3167,44.94,81,69,8.16
157,Caravelas,BR,2022-06-21 14:54:56,-17.7125,-39.2481,78.19,65,36,5.64
158,Hilo,US,2022-06-21 14:54:56,19.7297,-155.09,70.29,66,3,3.15
159,Tuatapere,NZ,2022-06-21 14:54:56,-46.1333,167.6833,37.45,83,0,4.18
160,Tuktoyaktuk,CA,2022-06-21 14:54:57,69.4541,-133.0374,33.8,86,20,9.22
161,Bonthe,SL,2022-06-21 14:54:57,7.5264,-12.505,82.45,74,100,6.82
162,Mitsamiouli,KM,2022-06-21 14:54:57,-11.3847,43.2844,77.43,73,82,13.49
163,Trincomalee,LK,2022-06-21 14:54:58,8.5711,81.2335,82.78,72,100,17.78
164,Bor,RU,2022-06-21 14:54:58,56.3567,44.0669,60.73,66,67,5.19
165,Beberibe,BR,2022-06-21 14:54:58,-4.1797,-38.1306,83.57,62,100,14.61
166,Guasdualito,VE,2022-06-21 14:54:59,7.2424,-70.7324,78.76,100,40,3.44
167,Cabo San Lucas,MX,2022-06-21 14:50:31,22.8909,-109.9124,82.62,72,8,7.0
168,Thompson,CA,2022-06-21 14:55:00,55.7435,-97.8558,53.76,66,40,12.66
169,Tiksi,RU,2022-06-21 14:55:00,71.6872,128.8694,45.03,83,100,12.28
170,Alofi,NU,2022-06-21 14:55:00,-19.0595,-169.9187,69.69,100,60,3.44
171,Mascota,MX,2022-06-21 14:55:01,20.5167,-104.7833,66.31,73,88,1.61
172,Ayan,RU,2022-06-21 14:55:01,56.45,138.1667,48.52,88,1,6.46
173,Hithadhoo,MV,2022-06-21 14:56:01,-0.6,73.0833,83.98,71,69,10.89
174,Kaa-Khem,RU,2022-06-21 14:56:02,51.6833,94.7333,64.89,53,78,5.08
175,Cidreira,BR,2022-06-21 14:56:02,-30.1811,-50.2056,63.19,81,100,5.57
176,Baker City,US,2022-06-21 14:56:02,44.7749,-117.8344,55.18,61,4,1.68
177,Trinidad,BO,2022-06-21 14:56:03,-14.8333,-64.9,80.58,74,83,10.36
178,Leeton,AU,2022-06-21 14:56:03,-34.5667,146.4,42.89,100,11,0.0
179,Seydi,TM,2022-06-21 14:56:03,39.4816,62.9137,87.51,14,1,9.66
180,Teguldet,RU,2022-06-21 14:56:04,57.3064,88.1667,61.84,92,70,4.79
181,Basco,PH,2022-06-21 14:56:04,20.4487,121.9702,85.51,76,16,12.06
182,Portland,US,2022-06-21 14:53:56,45.5234,-122.6762,59.74,88,100,1.99
183,Luwingu,ZM,2022-06-21 14:56:05,-10.2621,29.9271,71.49,28,6,6.67
184,Faanui,PF,2022-06-21 14:56:05,-16.4833,-151.75,79.79,77,34,14.94
185,Nome,US,2022-06-21 14:55:49,64.5011,-165.4064,43.16,89,100,7.7
186,Wilmington,US,2022-06-21 14:52:08,34.2257,-77.9447,80.91,50,0,4.61
187,Taxiarkhis,GR,2022-06-21 14:56:06,40.4333,23.5167,87.26,40,0,11.45
188,Rincon,US,2022-06-21 14:53:45,32.296,-81.2354,85.86,62,84,4.27
189,Shizunai,JP,2022-06-21 14:51:20,42.3339,142.3669,58.01,94,100,7.9
190,Kumluca,TR,2022-06-21 14:56:06,36.3703,30.2869,84.31,43,2,1.07
191,Baoqing,CN,2022-06-21 14:56:07,46.3317,132.2111,64.65,95,100,7.74
192,Tarancon,ES,2022-06-21 14:56:07,40.0085,-3.0073,82.58,15,100,12.1
193,Iisalmi,FI,2022-06-21 14:56:07,63.5592,27.1907,65.86,44,78,2.93
194,Denpasar,ID,2022-06-21 14:56:09,-8.65,115.2167,80.26,78,20,10.36
195,Cherskiy,RU,2022-06-21 14:56:09,68.75,161.3,37.92,59,90,3.18
196,Saint Anthony,US,2022-06-21 14:55:43,45.0205,-93.218,79.79,77,36,3.0
197,Nador,MA,2022-06-21 14:56:10,35.174,-2.9287,86.07,44,0,14.97
198,Powell River,CA,2022-06-21 14:56:10,49.8496,-124.5361,60.19,100,100,10.36
199,Saldanha,ZA,2022-06-21 14:56:10,-33.0117,17.9442,66.25,66,98,3.91
200,Maymyo,MM,2022-06-21 14:56:11,22.0333,96.4667,67.28,93,100,3.18
